"Ano_Ref","id_mun","ES001","POP_URB","ES006","ES028","FN001","FN003","FN006","FN013","FN024","FN033","FN043","FN048","FN053","FN058"
2011,2202901,1226,15797,112.26,93.16,1932500.86,194237.65,1943652.47,316720.15,0,0,NA,NA,NA,NA
2009,2206407,255,5387,0,0,481265.89,0,465943.89,55885.83,0,684622.08,0,119931,0,0
2003,2910727,3616,83096,124.6,0.6,4086243.58,42091.55,3273489,NA,0,0,NA,NA,NA,NA
2006,2918209,3883,5053,16,63,416894.11,93573.86,393415.62,185201.16,0,0,NA,NA,NA,NA
2005,2918407,103668,155185,7721,389.4,7405648.74,1279829.9,8082438.79,1699270.94,993361.87,1202463.34,NA,NA,NA,NA
2006,2919926,6876,13624,229,210,2255581.09,265740.13,2296890.15,169632.32,0,0,NA,NA,NA,NA
2005,2930501,1875,41339,104.4,NA,2496109.64,38929.08,2623817.8,1461235.31,0,0,NA,NA,NA,NA
2001,2903201,10372,102634,316.39,NA,5123803,145360,5399249.78,NA,NA,NA,NA,NA,NA,NA
2000,2103307,14470,75093,NA,NA,1297855.14,82419.3,1297855.14,283556.19,NA,NA,NA,NA,NA,NA
2022,2902104,20975,NA,16.08,NA,6787884.07,35973.78,6733756.8,1868876.46,57887.23,908412.96,27034,1011251,0,0
2022,2903201,117268,NA,5184.72,1695.91,80964134.33,29422556.16,75689421.51,3565119.73,4923072.12,8565818.37,0,0,0,0
2022,2923050,7885,NA,0,0,1058976.74,0,1412551.61,158389.56,2515.39,95570.89,407395.36,407395.36,0,0
2022,2101707,4851,NA,236.01,217.15,4892420.17,1342134.88,4135773.01,643690.23,765313.44,842796.23,0,0,0,0
2018,2903201,132851,138511,4280.28,1209,58241122.28,19799057.64,51491060.2,2028907.8,3285273.74,7755847.16,NA,NA,0,0
2018,2904852,666,5011,22.37,0,1869557.28,82733.92,1873866.83,259354.04,0,0,NA,NA,0,0
2021,2910057,38334,78707,1426,220.63,15697420.36,5003643.39,14601737.64,2933124.89,5469953.96,8538543.27,0,0,0,0
2021,2914307,7874,3549,0,NA,1050409.69,0.01,1058499.25,350203.51,451.89,138279.46,0,0,0,0
2019,2915502,16366,16368,0,0,2584006.42,0,2584006.42,323055.88,0,97763.68,0,0,0,0
2019,2917102,18904,18525,0,0,3179408.2,0,3202321.63,350719,0,105400,0,0,0,0
2020,2917409,0,5355,NA,0.69,784109.2,0,735253.52,88826.58,781029.86,1234197.21,NA,NA,NA,NA
2019,2917706,9732,18379,332.4,396.41,5287117.01,920885.45,5255381.06,663559.48,101953.92,129748.67,NA,NA,NA,NA
2021,2926301,465,20055,20.39,0,6699779.38,48946.19,6945260.86,886819.88,5595.78,5575496.96,0,0,0,0
2019,2927200,1798,22778,63.38,0,4676849.69,361043.92,4716099.64,1091934.82,0,0,NA,NA,NA,NA
2017,2929008,8450,10062,193.82,102.53,1969497.67,861262.68,1857169.9,196408.21,0,0,NA,NA,0,0
2021,2929503,2331,34998,89.59,5.16,6280948.53,91703.62,6569529.88,1398354.39,46398.82,2430666.28,0,0,0,0
2018,2103000,9100,125483,432,124.54,21399501.32,100807.09,21399701.32,4588944.33,0,508240.7,0,0,0,0
2017,2112852,2800,7409,50,NA,1e+05,30000,120000,20000,NA,NA,150000,730000,NA,NA
2018,2204659,5309,7846,92.07,0,952087.24,138.8,1287225.77,401123.05,474193.33,475261.18,0,0,0,0
2013,2901007,439,26869,12.86,NA,3904587.07,18227.85,3993626.54,253237.47,0,163351.29,NA,NA,NA,NA
2015,2910701,8883,29548,298.12,1.3,6880681.02,915019.36,7274222.77,1058088.06,67582.74,406299,NA,NA,0,313748.25
2016,2913002,1396,3719,50.45,4.99,587760.39,106905.88,541981.89,94081.94,2014.67,5457.06,NA,NA,0,0
2013,2914604,10630,66422,292.46,17.71,11395694.02,707864.35,11598188.43,1847729.68,38657.93,15491553.61,NA,NA,NA,NA
2012,2914604,10325,62260,285.86,16.67,10366978.75,606206.8,9966600.08,29329.7,NA,NA,NA,NA,NA,NA
2013,2929305,1598,18170,15.86,NA,3002349.53,45387.93,2660395.06,262527.57,0,42350.28,NA,NA,NA,NA
2015,2929404,3875,3875,0,NA,546489.06,20000,574516.5,74994.31,504.52,1209.62,50000,91000,0,0
2014,2930501,7869,50859,272.22,71.59,8979210.45,287861.27,8562368.03,2294063.24,202082.72,1388103.32,NA,NA,NA,NA
2015,2930774,17250,21441,0,4.93,1778230.6,319496.24,1949988.88,275422.14,0,28608.8,0,0,0,0
2015,2931350,32779,147449,1135.93,410.23,22079792.31,2655017.66,22131373.51,1435608.5,1794142.96,4301561.51,NA,NA,0,0
2016,2932101,5563,9288,197.54,55.73,1570304.52,452765.15,1614620.03,96788.21,2387.25,22326.33,NA,NA,0,0
2015,2932705,2631,17379,105.98,33.82,2796427.43,202542.73,2793666.95,121466.4,1532.88,3675.17,NA,NA,0,0
2015,2933604,6248,34528,0,NA,2444287,67120.24,2444287,363909.08,0,137914.75,0,0,0,0
2012,2200400,1862,27677,50.66,7.17,1967500.27,107780.95,1885043.61,395322.75,0,0,0,0,0,0
2012,2207009,15328,22177,254.99,377.38,3397697.77,718847,3188200.72,397196.5,0,0,0,0,0,0
2011,2901353,7408,6163,0,0,703261,0,735597,47278,NA,NA,13200,13200,0,0
2011,2905800,1473,15660,35.78,6.51,1663219,22463,1694697,116698,NA,NA,NA,NA,NA,NA
2011,2909802,680,50259,0,0,4958580,0,5103256,537087,2952000,2952000,NA,NA,NA,NA
2010,2910503,1913,23840,87.09,104.37,3088484,145083,3256540,370455,NA,NA,NA,NA,NA,NA
2007,2918001,104435,133884,4608.12,1728,17073936.12,6422858.44,17868645.54,915288.78,0,0,NA,NA,NA,NA
2010,2920007,6916,6916,0,0,719786,0,842917,28505,0,0,NA,NA,0,0
2008,2922409,7083,9581,285.4,84.65,1127396.35,391289,1199029.9,79217.33,0,0,NA,NA,NA,NA
2011,2930709,25214,107346,1449.71,830.08,23608611,2294151,23733616,1236203,621000,631000,NA,NA,NA,NA
2011,2932507,1135,14676,47.25,20.09,1263967,52484,1341075,95984,NA,NA,NA,NA,NA,NA
2007,2202901,1729,14090,0,96.11,1115461.5,89780.65,1320995.04,208627.45,0,0,NA,NA,NA,NA
2005,2903201,11694,117965,415.4,45.14,9299457.71,384141.67,9104008.94,431466.89,0,0,NA,NA,NA,NA
