"Ano_Ref","id_mun","ES001","POP_URB","ES006","ES028","FN001","FN003","FN006","FN013","FN024","FN033","FN043","FN048","FN053","FN058"
2018,2900702,48858,131804,1586,8.7,29374854,1990248,30825570,3511749,3421982.38,5727502,0,0,0,0
2020,2904852,470,5069,21.27,0,2245222.07,93035.38,2320022.35,295992.41,1580,81270.89,NA,NA,NA,NA
2021,2916401,72889,75144,507.13,2.56,9833166.73,2813776.35,11276640.29,2299914.3,0,370886.81,0,0,NA,NA
2019,2917508,5556,56764,155.29,54.62,16347584.62,333743.49,16051950.13,1465129.87,15618370.98,21058012.91,NA,NA,NA,NA
2020,2923357,3234,6760,10.69,1.33,1956441.93,65776.51,2001774.91,606416.48,0,127319.62,NA,NA,NA,NA
2020,2926301,466,20037,21.16,0,6314592.04,47855.74,6619265.04,540087.32,0,470704.98,NA,NA,NA,NA
2021,2927606,3772,5185,157.77,13.4,2163518.41,670651.18,2194463.04,500389.93,17670.81,157301.55,0,0,0,0
2021,2932457,4376,8647,10.96,0,1660424.69,213152.22,1650023.66,849499.92,927.16,128364.82,0,0,0,0
2020,2932903,70980,70582,0,30.18,21386881.09,0,21477154.75,1272130.23,0,107416.09,0,0,0,0
2019,2209971,1350,4030,0,42,61700,17850,77000,16725,NA,NA,1500,11300,NA,NA
2014,2902104,27522,21300,472.98,11.45,2945126.95,17389.7,3203782.61,412365.61,212225.52,303743.63,0,0,0,0
2013,2903706,3304,5702,0,0,993442.11,0,918528.85,140888.36,0,15073.87,0,0,0,0
2016,2905602,9131,26085,286.81,63.11,4133393.78,863730.52,3960921.31,123535.32,130022.85,223402.42,NA,NA,0,0
2016,2906303,16604,26539,573.46,121.04,5075517.35,1535147.92,4722372.93,156762.76,22597.71,73765.69,NA,NA,0,0
2014,2906501,29828,80700,1005,138.07,72130270.52,1688679.27,70804943.13,1501042.82,14907120.42,18266324.03,NA,NA,NA,NA
2014,2912202,6000,12247,0,NA,520534.44,0,479048.2,55235.38,0,13225.52,0,0,0,0
2016,2912806,4250,5010,0,NA,153554.1,0,170288.79,79447.59,5381.07,158772.12,12500,19700,0,0
2015,2913002,1461,3701,49.89,5.9,528350.97,99480.7,531095.4,120516.16,2349.36,137704.53,NA,NA,0,0
2014,2914109,4282,6474,120.17,40.72,945784.95,250774.79,956263.92,64993.56,33086.77,60341.04,NA,NA,NA,NA
2015,2916906,9987,9987,0,0,965948.08,0,936662.49,227536.2,270478.86,1021115.63,0,48875,0,230546.6
2015,2917102,18460,19249,0,0,2221390.14,0,2221390.14,132540,0,128700,0,0,0,0
2016,2919926,15945,20067,570.76,363.23,5982411,1790087.42,5803778.28,479501.84,169189.26,1513071.83,NA,NA,0,0
2016,2922250,1388,1445,44.58,15.51,488972.14,144907.56,458849.77,175692.84,6700,18604.48,NA,NA,0,0
2012,2923100,9000,12853,0,NA,1484776.21,0,1556032.9,86936.67,NA,NA,30000,35000,0,0
2016,2927705,11759,20543,298.01,463.39,5935751.87,2063461.39,5205480.13,244369.16,28246.12,94235.45,NA,NA,0,0
2014,2928802,438,30480,15.08,0,4441361.62,12038.01,4810528.97,576022.94,1007.18,14559079.55,NA,NA,NA,NA
2014,2930105,44391,62510,60.98,6054.59,10445484.57,98184.13,10684145.92,1988178.06,8742.59,6513561.26,80000,80000,0,0
2013,2101707,1030,23526,0,28.05,2270440.19,241850.57,2130244.48,317411.27,0,45164.7,0,0,0,0
2012,2107506,3863,82710,0,18.16,2012974.38,0,1393899.96,946400.1,0,269100,0,0,0,0
2015,2201408,5027,5027,0,100,728212.81,0,731368.27,170196.93,0,0,0,0,0,0
2010,2906857,2052,5595,0,0,789512,0,1066628,65763,0,0,NA,NA,0,0
2011,2909208,6956,6956,0,25,806322,10000,824998,206024,NA,NA,5000,291600,0,0
2011,2914703,3526,48648,125.61,0,6733158,152356,7707754,720058,0,67000,NA,NA,NA,NA
2010,2914703,3512,48485,127.37,0.4,5714612,110342,6578069,556765,NA,NA,NA,NA,NA,NA
2009,2917706,8359,15642,325.62,164.06,1944477.13,341862.48,1916392.35,123383.95,NA,NA,0,0,0,0
2011,2919306,5001,8124,178.66,8.92,1271796,424726,1370991,34345,NA,NA,NA,NA,NA,NA
2011,2931202,7409,8826,0,0,957257.68,0,957257.68,81497.99,115500,266677.69,115500,266677.69,0,0
2010,2931350,4885,129263,208.75,10.27,11406315,166589,12699052,892243,2947000,NA,NA,NA,NA,NA
2011,2103000,750,119449,20,20,8525518.63,0,8525518.63,2309504.18,0,604250.33,0,0,0,0
2005,2903409,9038,10117,179.6,103.03,932713.21,166772.29,944057.7,157622.55,0,0,NA,NA,NA,NA
2005,2918001,99424,131643,4475.8,1798.96,13832291.71,5070335.08,13730539.55,523105.76,0,0,NA,NA,NA,NA
2005,2919207,19677,134862,3076.6,422,13615947.32,871162.6,12384329.55,4855220.48,0,0,NA,NA,NA,NA
2002,2926004,26000,21244,2179.8,NA,1368768.02,387375.96,1368768.02,192000,5800,24300,NA,NA,NA,NA
2006,2929008,2344,9461,16,44,477342.74,34667.69,528453.51,94488.83,0,0,NA,NA,NA,NA
1997,2914802,159000,177491,1168,NA,9432246,2829674,7600717,1360688.12,110257.05,NA,NA,NA,NA,NA
2001,2926301,783,15191,28.1,NA,656495,7816,694875.73,NA,NA,NA,NA,NA,NA,NA
2001,2927408,1117947,2484679,146794.7,NA,182278567,41596851,176713313.74,NA,NA,128411388,NA,NA,NA,NA
2001,2111300,443223,855973,0,NA,50392218,18138486,30995100,3944761,0,2946767,NA,NA,NA,NA
2022,2919108,800,NA,0,1,1471290.54,40000,1359622.78,287114.02,4695.74,75105.18,3e+05,6e+05,0,0
2022,2205409,2044,NA,88.24,NA,1289872.65,0,1318482.53,197704.19,0,20286.73,0,0,0,0
2022,2207108,15,NA,0,0,250000,0,0,30000,NA,NA,0,270000,NA,NA
2022,2208007,42673,NA,1593.22,745.43,26802254.61,7591230.38,26478896.36,4565502.23,0,1405661.2,0,0,0,0
2017,2905602,9088,26127,292.56,79.8,4682880.11,1054971.24,4515731.84,111705.28,46214.58,53067.47,NA,NA,0,0
2018,2905800,2343,15648,72.8,13,3433889.94,136527.4,3569940.98,192935.95,0,157372.55,NA,NA,0,0
2018,2907103,10270,12844,771.6,NA,2806915,495691,2806915.25,394498,0,91187,0,0,0,0
2017,2910503,3914,25844,188.25,316.59,6368375.07,497975.1,6041229.26,518370.73,77500,641202.37,NA,NA,0,0
2020,2915205,2719,9105,55.56,51.42,2854611.51,530162.36,2846173.92,122308.33,0,95468.33,NA,NA,NA,NA
2017,2917359,2970,3068,195.6,0,987565.26,270699.17,1353495.85,634261.45,0,10355,0,0,0,0
2019,2919306,4960,8844,187.16,8.88,3442670.16,1146769.24,3386249.55,123437.46,0,109863,NA,NA,NA,NA
2019,2919926,15880,20459,517.96,566.83,7554768.34,2499769.21,7357785.36,399793.27,0,0,NA,NA,NA,NA
2020,2921005,25226,34978,1429.5,2084.8,25263962.78,9255560.75,24978948.03,1937527.63,7918680.87,9350008.43,NA,NA,NA,NA
2020,2922102,14996,14996,0,3,2531565.24,2e+05,2411191.1,552613.51,0,834941.04,0,0,0,0
2020,2929305,2502,18815,75.06,0,6226961.69,186168.94,11379844.28,1290505.34,0,2843030.5,NA,NA,NA,NA
2020,2931202,7200,9891,0,0,2249608.74,0,2249608.74,208175.2,0,14412.7,0,0,0,0
2020,2931905,9410,21279,430.6,130.17,7447053.8,1967099.2,8020114.41,613322.62,199422.81,780297.33,NA,NA,NA,NA
2017,2932101,5447,9291,205.9,47.33,1925305.81,590148.44,1903767.68,93474.27,0,0,NA,NA,0,0
2019,2932507,2125,11846,79.72,80.02,2857983.78,205561.85,2816600.14,133895.63,0,0,NA,NA,NA,NA
2020,2932705,2846,16237,103.9,36.1,4440071.93,412402.82,4064494.31,217605.41,65139.04,225766.98,NA,NA,NA,NA
2019,2933208,14489,40550,412.43,790.14,17994547.48,2353775.46,17647665.67,2258926.01,1716098.76,1716098.76,NA,NA,NA,NA
2017,2933208,9163,40941,344.98,295.27,13722535.68,1097118.8,13941489.27,1565908.58,2134922.36,2712117.88,NA,NA,0,0
2018,2933307,312553,303406,10825.7,3323,109200311.78,45216207.25,105402757.63,8861150.6,3925697.74,14494184.58,NA,NA,0,0
2021,2101707,4723,25651,216.35,240,4501716.81,1157697.4,3671036.24,607067.97,0,37573.66,NA,NA,NA,NA
2021,2105401,3120,38644,99.75,30.39,7720842.84,302073.38,6447145.58,1307724.46,406074.73,802794.12,NA,NA,NA,NA
2018,2112233,15796,18671,1,NA,2615113.52,300,2339544.74,692014.86,0,31508.85,3000,20000,0,0
2021,2200202,7378,15488,243.4,10.61,4138334.45,1016615.91,4214136.14,981847.43,0,254840.46,0,0,0,0
2017,2200202,4412,15129,147.9,0,2746194.42,315913.24,2588932.43,345172.99,0,9555.28,0,0,0,0
2020,2201804,507,1800,18.77,2.71,455150.23,52081.57,548334.13,99801.13,0,2838.97,0,0,0,0
2021,2203909,15876,52067,399.22,10.46,17933767.85,1288686.66,18245455.2,3267512.68,0,280732.18,0,0,0,0
2013,2902658,3100,4288,0,400,594946.88,0,599909.24,73384.01,0,7325.64,0,0,0,0
2013,2904852,540,5015,16.11,NA,707630.56,42341.57,818629.92,91858.25,504.46,6182.01,NA,NA,NA,NA
2014,2908408,1534,39559,50.59,37.67,5870350.5,64326.05,6071686.02,1643944.31,36251.42,393286.76,NA,NA,NA,NA
2015,2911253,2622,2622,0,NA,540969.95,80000,473606.17,1575.1,129849.09,682070.5,0,80000,0,555788.05
2015,2911808,1089,10514,0,0,1555715.08,0,1454202.54,57549.56,7194.79,17249.93,0,0,0,0
2012,2913002,1527,3473,52.48,5.07,400670.25,79909.75,379618.27,104893.54,NA,NA,NA,NA,NA,NA
2012,2913507,2026,14777,54.94,NA,1644014.92,67143.3,1793276.08,134557.57,NA,NA,NA,NA,NA,NA
2015,2920601,13940,27022,446.78,194.29,5086764.75,1086823.08,5112410.99,248132.3,4941342.66,6785210.51,NA,NA,0,0
2012,2921203,10,15892,1.88,9.46,2121042.2,10464.57,2147631.73,349667.52,NA,NA,NA,NA,NA,NA
2015,2922250,1342,1436,44.24,0,414030.92,123464.52,416553.94,289080.78,48222.79,54872.53,NA,NA,0,0
2013,2924009,5556,101143,274.69,43.75,18128552.93,622710.64,18220648.93,574019.62,34807470.68,36751425.85,NA,NA,NA,NA
2014,2927408,2278608,2902132,133868.06,35156.54,948083696.99,359537651.75,805758266.62,39745401.53,31786421.29,154208744.07,NA,NA,NA,NA
2016,2927903,6387,10254,218.25,72.32,2086719.5,587978.72,2016169.74,35537.84,56859.36,365927.77,NA,NA,0,0
2014,2927903,6209,10270,201.82,46.77,1787891.08,481227.23,1863820.04,23950.75,31011.65,390459.61,NA,NA,NA,NA
2012,2927903,6387,9467,196.72,49.1,1619186.19,419973.32,1623848.12,34233.61,NA,NA,NA,NA,NA,NA
2013,2929800,5800,7094,0,0,881311.86,0,792914.1,62210.52,0,13710.85,0,0,0,0
2015,2101707,1547,24325,31.48,41.47,2691195.99,458685.55,2552374.57,346225.66,0,0,0,0,0,0
2016,2111300,517071,1022841,4852.22,1838.07,272493931.48,120864163.36,159890670.71,26232963.35,54420094.6,69952557.49,0,0,0,0
2014,2111300,484735,1005143,3574,1614.84,212577748.7,92937072.96,141109297.52,24927484.49,30144737.24,52544324.52,0,0,0,0
2011,2900702,15080,124847,419,1.5,16273693,304210,17530761,1239224,1122252,2403209,0,0,0,0
2007,2903409,7438,11539,269.1,120,1226429.66,311416.43,1397968.99,138806.25,0,0,NA,NA,NA,NA
2010,2907707,2434,2631,81.6,NA,549787,66169,596459,60686,NA,NA,NA,NA,NA,NA
2011,2923100,8400,12814,0,NA,1261732,0,1320279,84725,NA,NA,30000,35000,NA,NA
2009,2927705,9128,18575,368.72,123.18,1827490.81,567227.17,1782100.89,205235.29,NA,NA,0,0,0,0
2011,2211001,131768,775225,6438.62,4181.78,138250154.59,18977467.54,132791559.21,15988765.44,12626173.43,23637864.76,757184.02,3280197.22,NA,NA
2004,2903201,11392,114610,401.97,43.2,7818542.98,315997.16,7555160.92,NA,0,0,NA,NA,NA,NA
2004,2931350,7129,108967,192.81,NA,4442388.74,69238.38,4823970.49,NA,0,0,NA,NA,NA,NA
2003,2931350,5705,104860,193.6,50.2,3821453.25,59452.96,3946016,NA,0,0,NA,NA,NA,NA
2005,2933307,118313,245680,5454.1,1823.43,21323367.24,7207480.04,22804062.73,3088857.17,1225000,1250000,NA,NA,NA,NA
2002,2933604,5490,32210,0,NA,892045,2214,892045,80695,0,165820,NA,NA,NA,NA
2004,2105302,75254,219986,2069.6,56.4,14615953.18,4606200.03,12185942.72,1318107.13,0,202937.36,NA,NA,NA,NA
2003,2211001,116935,711662,4351,NA,47898994,6714669,46368483,6564757,109738,483049.24,NA,NA,NA,NA
2022,2904308,11914,NA,0,0,2114550.09,0,2181979.12,508007.64,5654.2,155863.69,0,0,0,0
2022,2904506,1900,NA,0,0,939670.71,0,917627.42,86247.16,2093.72,94112.36,0,0,0,0
2022,2906907,5644,NA,197.86,87.2,4614810.78,1102668.06,4949729.95,255796.24,92057.8,340204.31,0,0,0,0
2022,2911303,3136,NA,93.44,6.43,1215025.95,404049.39,1251510.47,84257.96,4867.26,109813.29,0,0,0,0
2022,2919009,438,NA,15.77,4.13,574214.65,38449.23,573224.21,212986.04,3287.51,300704.71,0,0,0,0
2022,2105302,78327,NA,4860.53,366.46,70970849.33,21087928.97,45293433.6,8334399.83,0,3379390.76,0,0,0,0
2018,2902104,18346,20569,25.04,33,4310649.23,27960.81,4332999.45,607772.51,0,0,0,0,0,0
2017,2904852,673,5176,21.85,0,1662589.55,76003,1633445.24,210386.42,0,6925.58,NA,NA,0,0
2019,2906824,6084,9216,0,NA,2013409.3,0,1970980.68,166633.28,0,218650.07,0,0,0,0
2020,2912301,14184,12301,0,217,2493120.36,178000,2517967.04,78603.68,0,192038.68,178000,178000,0,0
2017,2914604,13076,68673,411.63,61.05,17442019.25,1112773.56,17334036.63,3139471.82,19499.4,1232527.62,NA,NA,0,0
2020,2916104,9508,22337,389.49,543.35,7397882.68,2008754.29,7154644.29,851975.9,188111.29,798543.93,NA,NA,NA,NA
2018,2918100,25405,18618,0,0,3933117.52,0,3766118.65,206722.92,3400,44009.59,80000,230000,0,0
2021,2918407,188033,178300,6286,1021.69,38463930.08,12191799.67,45320812.99,2530883.75,2933478.6,3352510.14,0,0,0,0
2021,2921203,3971,15639,125.91,62.49,5049728.16,473921.67,5141858.77,1300809.16,19305.06,682676.15,0,0,0,0
2017,2100550,2465,5190,0,29,250000,45000,238000,51587.5,NA,NA,0,0,NA,NA
2020,2106508,9531,9531,0,NA,199120.54,11000,165608.63,159281.11,0,7225.24,0,193466631,0,0
2021,2112506,1365,21206,43.22,2.64,374880.76,96320.32,137966.52,380346.94,0,24118.88,NA,NA,NA,NA
2019,2200400,2156,28589,58.23,11.17,3722272.47,179541.18,4243604.11,1132485.81,0,647.58,0,0,0,0
2021,2203800,500,2030,0,1,815905.41,310000,746112.59,163191.58,0,106248.86,0,2420000,0,0
2019,2203909,2276,51915,80.79,15.41,14431448.35,174213.1,15620131.87,2752653.1,954000,956157.66,0,0,0,0
2019,2204659,5361,7873,67.74,106.89,1222658.64,30889.69,1316668.86,474726.44,0,238.48,0,0,0,0
2016,2906873,2097,25532,70.07,0.26,5385674,119708.34,5478531.18,1196805.43,23435.41,75436.86,NA,NA,0,0
2012,2908408,1623,36859,NA,NA,4820273.69,41331.51,4923372.22,1305219.18,193000,NA,NA,NA,NA,NA
2016,2909802,13638,54946,326.31,318.88,9200518.16,834893.66,8983742.37,637400.6,708383.65,1901039.15,NA,NA,0,0
2013,2912806,4250,4901,0,0,878530.15,0,891262.78,45698.33,0,10506.06,50000,1e+05,0,0
2014,2913200,16859,21020,613.99,107.41,5006345.5,1865465.4,5145593.52,131340.99,41447.57,154181.29,NA,NA,NA,NA
2013,2913903,2336,42920,0.11,37.27,6720475.61,186127.56,6927415.66,232886.84,7452121.03,9464651.69,NA,NA,NA,NA
2016,2917003,533,10072,16.48,0.08,2100213.38,15874.77,2088635.56,289486.47,636.23,13681.33,NA,NA,0,0
2012,2918803,3083,6211,119.41,16.13,956396.96,286236.54,954761.68,37386.34,NA,NA,NA,NA,NA,NA
2014,2929503,602,35578,5.44,20.93,3714148.43,3653.35,3812413.29,506540.3,1401.29,117829.55,NA,NA,NA,NA
2012,2932705,659,15624,NA,1.53,1864565.15,31112.45,1920048.56,53157.16,NA,NA,NA,NA,NA,NA
2013,2103000,2456,121794,44.4,0,11119829.74,0,11119829.74,2120721.25,0,1098530.63,0,0,0,0
2013,2111300,513920,995438,3848,1454.66,116249252,428198.15,137021872.22,25962211.94,0,34926674.42,0,0,0,0
2016,2200400,2190,28074,62.49,22.42,2883225,139770.05,2759673.65,661284.68,0,0,0,0,0,0
2013,2205359,200,704,0,NA,0,0,0,34500,NA,NA,0,90000,0,0
2012,2205409,4260,4290,100,0,550975.18,20000,579466.93,43449.53,0,0,0,0,0,0
2011,2903201,12208,125414,437.17,55.67,19696606,725704,20268988,1007451,NA,NA,NA,NA,NA,NA
2011,2906873,2343,21966,64.78,0,2686006,73798,2623284,168112,0,14684000,NA,NA,NA,NA
2007,2907707,2042,2446,68.6,NA,332910.66,45541.6,377832.29,63440.3,0,0,NA,NA,NA,NA
2011,2911006,6921,7305,0,18,722979,0,647086,67398.6,NA,NA,0,0,0,0
2011,2917003,565,9711,19.71,0,1249799,12763,1348128,307910,NA,NA,NA,NA,NA,NA
2011,2919207,50688,167309,2786.29,119.39,30669390,2818158,31190311,NA,NA,NA,NA,NA,NA,NA
2011,2926301,665,19890,21.66,0,2451529,21577,2624983,119815,NA,NA,NA,NA,NA,NA
2008,2928703,5339,76375,180.74,3.02,6204365.24,120601.92,6570507.3,562278.14,0,0,NA,NA,NA,NA
2004,2910057,19441,49469,341.69,274.5,1786291.89,342013.16,1799459.56,NA,50000,50000,NA,NA,NA,NA
2003,2910057,0,46754,330.8,94.5,1868885.02,245821.02,1418824,NA,0,0,NA,NA,NA,NA
2004,2910727,4675,85715,125.91,0.7,4586393.95,49836.8,3573951.37,NA,0,0,NA,NA,NA,NA
2006,2930709,51512,89875,1110,205,11114107.72,1100997.22,8603884,1310731.2,0,0,NA,NA,NA,NA
2001,2931350,5081,100912,182.39,NA,2698517,49721,2963321.76,NA,NA,NA,NA,NA,NA,NA
2022,2902708,23000,NA,3600,NA,4511011.39,1017374.27,5064957.99,572403.33,0,1219296.32,0,0,0,0
2022,2910701,8196,NA,393.88,84.55,12387668.93,1977249.78,12253427.82,2572949.16,131114.1,1621853.18,0,0,0,0
2022,2917607,14561,NA,774.68,28.17,12178750.54,2900434.62,11631441.57,1426269.9,1059059.66,1638125.92,0,0,0,0
2022,2918902,756,NA,0,NA,1073759.89,0,1145566.67,149800.69,1483.41,19526.37,0,0,0,0
2022,2925808,13216,NA,0,5,3700549.01,0,3880924.84,706904.45,10299.95,379599.13,46000,187000,0,0
2022,2927606,4040,NA,158.77,18.86,2443256.4,762527.8,2349065.21,527229.35,111477.7,4374298.69,0,0,0,0
2022,2104057,1000,NA,0,0,5800000,0,5800000,1500000,NA,NA,0,0,NA,NA
2022,2202133,600,NA,0,0,436447.73,0,465478.98,150261.34,0,7162.06,0,0,0,0
2022,2207900,908,NA,32.7,1.51,5536407.46,0,5918184.78,1248601.93,0,4323.11,0,0,0,0
2017,2902104,17689,21267,22.83,29.43,3930271.29,23810.43,3889399.63,578709.8,0,0,0,0,0,0
2019,2902906,430,20356,15.16,56.35,5479259.35,52050.5,4907569.12,557734.32,0,70888.6,NA,NA,NA,NA
2021,2903904,22083,47628,1493,967,11098718,1816400,11098718,1735877,0,270600,0,0,0,0
2017,2904308,15122,5227,0,0,1783935.3,0,1465913.07,265119.43,0,102726.33,35000,65000,0,0
2021,2906873,1255,25429,44.47,0,7623371.95,110531.69,7513219.38,965192.34,967110.19,4603657.35,0,0,0,0
2017,2907103,9627,13356,408,42,2331300,412800,2331300,305018,0,61509,0,0,0,0
2018,2908606,6118,13161,186.4,56,4066708.71,725946.29,4123625.25,282797.43,122197.13,178112.71,NA,NA,0,0
2017,2910701,9596,30161,349.11,0,8304271.32,1137710.49,8403446.57,1053301.67,0,223162.85,NA,NA,0,0
2021,2910750,8000,6974,0,0,3333621.1,0,3356610.19,937843.87,1383.33,413866.81,3e+05,3e+05,0,0
2021,2912806,6000,4979,0,NA,1458438.68,0,1509306.3,125586.42,74.77,115626.46,0,0,0,0
2019,2913200,17017,20654,581.4,119.45,7595984.32,2858256.42,7108133.68,206410.91,337414.78,394817.02,NA,NA,NA,NA
2017,2914109,4587,6541,156.99,47.3,1508976.04,485800.07,1553952.47,91719.83,21610.4,36668.61,NA,NA,0,0
2021,2917409,3031,5357,5.21,6.63,829835.27,54674.42,771882.67,140249.45,18306.24,106770.39,0,0,0,0
2018,2918001,137429,143010,5927.17,1728,56439979.91,23367543.79,53885098.5,1273693.32,2060590.89,4565105.53,NA,NA,0,0
2019,2922706,8654,6749,57,456,2573323.64,122560,2467029.94,62970.45,0,22292.36,0,0,0,0
2020,2926806,0,6249,NA,3.26,1775591.16,0,1793874.38,219505.02,1387211.97,2650477.37,NA,NA,NA,NA
2017,2927606,5151,5580,171.92,23.01,1985601.06,619967.62,1970063.75,288231.38,0,1495022.8,NA,NA,0,0
2021,2927903,7582,9716,285.17,120.61,2885504.32,999580.57,2916614.12,265718.7,203076.48,379282.99,0,0,0,0
2018,2102358,4500,4317,80,50,80000,5000,80000,7800,NA,NA,5e+05,1247000,NA,NA
2018,2107506,57985,90432,1878,504,20392802,6797525,12291295,5042784,66439,15278186,0,0,0,0
2018,2112852,2800,7246,50,NA,1e+05,30000,120000,20000,NA,NA,150000,730000,NA,NA
2020,2200806,3109,2320,0,10,263360.09,600,37273.31,80458.12,0,3480.56,5000,33000,0,0
2018,2202901,3901,16414,140.47,32.59,4054506.25,547493.47,4519588.15,593200.48,0,2697.07,0,0,0,0
2021,2207801,261,11086,11,0,3049337.46,31539.93,3072871.7,624962.85,0,387280.49,0,0,0,0
2013,2900207,4993,10048,95.15,31.11,895613,230156.77,789975.08,57578.44,0,22925.57,NA,NA,NA,NA
2012,2900603,4536,2642,0,NA,521452.14,250000,481345.89,22660.19,NA,NA,50000,66000,NA,NA
2012,2906501,23370,76874,759.36,79.09,14790144.65,1104506.31,64186648.08,29046940.58,828000,NA,NA,NA,NA,NA
2012,2911402,2250,2834,0,0,799618.09,0,809446.74,145329.15,NA,NA,0,0,0,0
2016,2914802,149945,214976,3042,401,41058322.28,11576942.81,33309988.21,5295232.14,0,8282,0,0,0,0
2015,2917003,529,10338,15.18,0.08,1826653.07,13448.43,1916708.83,345828.48,741.93,1778.82,NA,NA,0,0
2012,2917706,9105,16845,330.87,412.81,2920349.16,511567.35,2806833.53,246745.97,NA,NA,NA,NA,NA,NA
2013,2919603,7242,7242,0,NA,1044872.48,0,1005185.71,108315.48,0,18180.67,0,0,0,NA
2012,2921005,10438,30823,870.49,1542.25,13215889.13,3862809.93,12948076.35,580114.55,NA,NA,NA,NA,NA,NA
2014,2922409,9158,10241,300.67,89.95,2102694.17,812193.46,2211530.3,101314.82,23310.84,122451.83,NA,NA,NA,NA
2016,2927200,1751,23605,73.57,1.22,3590339.59,285770.6,3204745.03,807197.84,218149.56,395048.36,NA,NA,0,0
2012,2928109,1670,23731,58,20.08,4145754.24,0,4145754.24,298718.23,0,533795.63,0,0,0,0
2016,2930501,7193,50790,249.24,72.57,10496834.48,272672.66,10308750.89,2948710.02,672204.65,2852139.67,NA,NA,0,0
2015,2930501,7502,51192,273.57,67.2,9563807.86,252625.91,9633279.26,2904993.12,769560.3,1808087.95,NA,NA,27515.69,175352.06
2013,2930501,7989,50504,250.61,66.78,9205551.78,275631.87,7672721.45,2010972.74,27515.69,8094534.43,NA,NA,NA,NA
2016,2931509,4000,7264,0,1,2198466.39,1510.54,2184630.56,723806.31,1481.7,12981.93,1578.25,60626.1,0,0
2014,2932705,2391,17439,89.55,24.02,2462600.71,164438.83,2586091.24,81880.45,237316.37,329611.97,NA,NA,NA,NA
2012,2101004,7488,17680,0,940,725000,225000,750000,35000,NA,NA,0,0,0,0
2016,2202901,3879,16151,145.8,7.34,3529735.09,537539.41,3854763.73,408118.12,0,0,0,0,0,0
2010,2903201,10451,123741,420.48,40.37,17955947,641774,18538091,855094,NA,NA,NA,NA,NA,NA
2008,2905404,2986,8087,153.51,167.52,1510737.74,371436.57,1643521.11,175339.33,0,0,NA,NA,NA,NA
2007,2906303,12740,28267,419.5,98,1937703.64,415358.45,2034768.34,173223.96,0,0,NA,NA,NA,NA
2010,2910800,208075,510635,9817.1,2829,62233290,17744510,63404397,7067028,12569000,NA,NA,NA,NA,NA
2011,2920601,12851,25182,440.31,184.67,3814860,717858,3860304,198297,NA,NA,NA,NA,NA,NA
2011,2922003,7721,27959,401.42,0,2262784,342539,2658062,71461,NA,NA,NA,NA,NA,NA
2010,2922409,8331,9659,307.25,91.83,1289347,495928,1367121,100497,NA,NA,NA,NA,NA,NA
2011,2928109,1670,23773,99.5,17.2,3558934.93,0,3558934.93,290257.12,0,673874.03,0,0,0,0
2011,2930501,4090,47524,145.29,8.4,5860647,101846,5691592,3047851,NA,NA,NA,NA,NA,NA
2010,2931202,7073,8725,NA,0,834687.67,0,834687.67,79293.03,36120,150592.72,NA,NA,NA,NA
2002,2904605,1665,41334,90,NA,1943463.16,11043.48,1859746.35,NA,NA,NA,NA,NA,NA,NA
2002,2930501,2211,39928,113,NA,1781176.84,26269.23,1613923.98,NA,NA,NA,NA,NA,NA,NA
2004,2101202,4548,74139,0,0,3110226,57892,2910883,556711,0,263340,NA,NA,NA,NA
2006,2103307,10520,77763,0,379.5,3430158,221034,3430158,1183642,0,58032,NA,NA,NA,NA
2006,2207009,5335,20386,662,21,1646571.61,268546.06,1474926.02,286009.42,NA,178961.78,NA,NA,NA,NA
2001,2910800,110438,440130,6775.89,NA,16548337,3459085,18770016.8,NA,NA,NA,NA,NA,NA,NA
2022,2911709,45720,NA,2478.03,565.03,44942277.97,15611631.16,40355130.16,5356382.29,1855740.92,6342520.76,0,0,0,0
2019,2908507,1364,25907,39.13,3.12,2383258.84,48618.75,2329327.02,90847.13,0,0,NA,NA,NA,NA
2020,2909802,27441,54128,1007.92,592.45,15725322.92,4077689.65,15112188.96,1003045.6,1454190.49,2367719.78,NA,NA,NA,NA
2020,2913705,20000,17369,0,0,4681751.28,170000,4786956.22,271955.86,0,238780.95,0,0,0,0
2018,2913903,11297,41688,381.8,149,9462377.26,1302094.47,9529290.4,467296.57,1297023.9,1297023.9,NA,NA,0,0
2017,2922300,11299,19121,343.69,109.32,5306589.75,1258123.28,5286723.04,446586.91,676801.38,777160.29,NA,NA,107061.57,107061.57
2019,2924108,561,1834,0,0,507349.94,0,516147.96,75940.21,0,41364.18,63289.9,63289.9,0,0
2018,2925303,102586,120228,5285.01,4597,40380471.77,17731851.46,38496187.01,3031343.84,2363055.1,3729645.66,NA,NA,0,0
2017,2926707,3299,6651,129.95,54.61,1593956.83,442768.87,1422888.91,129616.87,0,0,NA,NA,0,0
2021,2926806,1635,6279,9.13,18.75,1908394.71,46933.48,1814557.76,334109.19,1019257.17,18907946.9,0,0,0,0
2019,2928604,23523,46523,804.38,218.73,12697595.86,3325623.68,12103500.06,400700,1875726.25,2387088.07,NA,NA,NA,NA
2019,2931509,4350,7015,0,50,2760157.75,0,2784782.04,681435.61,0,0,0,0,NA,NA
2019,2205508,1505,22838,42.63,16.97,4022354.8,91151.19,4389472.75,1218176.52,0,711.53,0,0,0,0
