"Ano_Ref","id_mun","AG001","POP_URB","AG006","AG028","FN001","FN002","FN006","FN013","FN023","FN033","FN042","FN048","FN052","FN058"
2009,2932903,74460,63551,5707,2194,6899492,6899492,6901518,557037,167410,230009,0,0,0,0
2007,2932903,74931,60241,5786.96,2059.29,5987902.68,5986078.68,5987902.68,566049.76,279621.82,349597.92,NA,NA,NA,NA
2009,2111300,969814,955070,101871,80443.95,106112886.25,62015278.45,79761299.66,26532866.87,6733605.76,30241889.76,NA,NA,NA,NA
2011,2202901,15334,15797,1408.38,792.38,1932500.86,1738263.21,1943652.47,316720.15,0,0,NA,NA,NA,NA
2009,2206407,5277,5387,343,420.35,481265.89,481265.89,465943.89,55885.83,178093.28,684622.08,119931,119931,0,0
2003,2910727,85886,83096,4245.7,4996,4086243.58,4044152.03,3273489,NA,0,0,NA,NA,NA,NA
2006,2918209,5610,5053,247.12,802.69,416894.11,323320.25,393415.62,185201.16,0,0,NA,NA,NA,NA
2005,2918407,205724,155185,17255,6670.7,7405648.74,6125818.84,8082438.79,1699270.94,156968.22,1202463.34,NA,NA,NA,NA
2006,2919926,13585,13624,1394,0,2255581.09,1989840.96,2296890.15,169632.32,0,0,NA,NA,NA,NA
2005,2930501,59972,41339,3054.33,63.4,2496109.64,2457180.56,2623817.8,1461235.31,0,0,NA,NA,NA,NA
2001,2903201,95420,102634,7770.29,NA,5123803,4978443,5399249.78,NA,NA,NA,NA,NA,NA,NA
2000,2103307,76000,75093,8983.09,NA,1297855.14,1215435.84,1297855.14,283556.19,14355.69,NA,NA,NA,NA,NA
2022,2902104,33620,NA,1775.9,2883.92,6787884.07,6751910.29,6733756.8,1868876.46,807061.68,908412.96,114102,1011251,0,0
2022,2903201,152917,NA,10778.27,5362.3,80964134.33,51541578.17,75689421.51,3565119.73,3262199.02,8565818.37,0,0,0,0
2022,2923050,5534,NA,220.91,337,1058976.74,1058976.74,1412551.61,158389.56,86856.55,95570.89,0,407395.36,0,0
2022,2101707,17617,NA,2373.26,1090.99,4892420.17,3550285.29,4135773.01,643690.23,57166.08,842796.23,0,0,0,0
2018,2903201,153831,138511,9213.44,4696,58241122.28,38442064.64,51491060.2,2028907.8,4470573.42,7755847.16,NA,NA,0,0
2018,2904852,13998,5011,503.94,496,1869557.28,1786823.36,1873866.83,259354.04,0,0,NA,NA,0,0
2021,2910057,81734,78707,5651.99,4310.57,15697420.36,10693776.97,14601737.64,2933124.89,2914154.77,8538543.27,0,0,0,0
2021,2914307,3539,3549,211.17,127.34,1050409.69,1050409.68,1058499.25,350203.51,130401.23,138279.46,0,0,0,0
2019,2915502,16366,16368,1120,430,2584006.42,2584006.42,2584006.42,323055.88,97763.68,97763.68,0,0,0,0
2019,2917102,19480,18525,3909,849,3179408.2,3179408.2,3202321.63,350719,105400,105400,0,0,0,0
2020,2917409,5346,5355,160.41,180.03,784109.2,784109.2,735253.52,88826.58,18605.72,1234197.21,NA,NA,NA,NA
2019,2917706,22172,18379,1561.13,1076.8,5287117.01,4366231.56,5255381.06,663559.48,0,129748.67,NA,NA,NA,NA
2021,2926301,27967,20055,1667.9,1368.96,6699779.38,6650833.19,6945260.86,886819.88,5519759.07,5575496.96,0,0,0,0
2019,2927200,25757,22778,1207.69,2322.67,4676849.69,4315805.77,4716099.64,1091934.82,0,0,NA,NA,NA,NA
2017,2929008,9343,10062,859.7,603.74,1969497.67,1108234.99,1857169.9,196408.21,0,0,NA,NA,0,0
2021,2929503,35791,34998,1937.17,3668.98,6280948.53,6189244.91,6569529.88,1398354.39,2311969.99,2430666.28,0,0,0,0
2018,2103000,125483,125483,19696.18,7985,21399501.32,21298694.23,21399701.32,4588944.33,508240.7,508240.7,0,0,0,0
2017,2112852,10150,7409,120,12,1e+05,70000,120000,20000,NA,NA,380000,730000,NA,NA
2018,2204659,8651,7846,600.85,582.14,952087.24,951948.44,1287225.77,401123.05,0,475261.18,0,0,0,0
2013,2901007,31994,26869,1238.57,1476.51,3904587.07,3886359.22,3993626.54,253237.47,116174.23,163351.29,NA,NA,NA,NA
2015,2910701,44731,29548,1760.48,3876.66,6880681.02,5965661.66,7274222.77,1058088.06,236406.09,406299,NA,NA,313748.25,313748.25
2016,2913002,3646,3719,104.99,250.35,587760.39,480854.51,541981.89,94081.94,2197.13,5457.06,NA,NA,0,0
2013,2914604,72041,66422,3477.51,10570.24,11395694.02,10687829.67,11598188.43,1847729.68,14689262.36,15491553.61,NA,NA,NA,NA
2012,2914604,67527,62260,3170.15,8384.24,10366978.75,9760771.95,9966600.08,29329.7,43022000,NA,NA,NA,NA,NA
2013,2929305,26083,18170,1499.45,1507.51,3002349.53,2956961.6,2660395.06,262527.57,9836,42350.28,NA,NA,NA,NA
2015,2929404,4180,3875,172.96,215.89,546489.06,526489.06,574516.5,74994.31,446.15,1209.62,20000,91000,0,0
2014,2930501,74730,50859,8056.08,10708.72,8979210.45,8691349.18,8562368.03,2294063.24,1033012.12,1388103.32,NA,NA,NA,NA
2015,2930774,23583,21441,1125.58,584.54,1778230.6,1458734.36,1949988.88,275422.14,28608.8,28608.8,0,0,0,0
2015,2931350,121821,147449,7054.54,4503.76,22079792.31,19424774.65,22131373.51,1435608.5,1586567.34,4301561.51,NA,NA,0,0
2016,2932101,9782,9288,507.06,217.92,1570304.52,1117539.37,1614620.03,96788.21,16271.38,22326.33,NA,NA,0,0
2015,2932705,17414,17379,808.98,337.25,2796427.43,2593884.7,2793666.95,121466.4,1355.53,3675.17,NA,NA,0,0
2015,2933604,45562,34528,5434.44,874.22,2444287,2377166.76,2444287,363909.08,123645.75,137914.75,0,0,0,0
2012,2200400,17992,27677,1225.37,963.57,1967500.27,1859719.32,1885043.61,395322.75,0,0,0,0,0,0
2012,2207009,19644,22177,1809.93,837.05,3397697.77,2678850.77,3188200.72,397196.5,0,0,0,0,0,0
2011,2901353,8433,6163,282.97,187.9,703261,703261,735597,47278,NA,NA,0,13200,0,0
2011,2905800,18983,15660,1088.79,783.71,1663219,1640756,1694697,116698,NA,NA,NA,NA,NA,NA
2011,2909802,53380,50259,2321.95,3523.78,4958580,4958580,5103256,537087,0,2952000,NA,NA,NA,NA
2010,2910503,31757,23840,1790.43,1217.32,3088484,2943401,3256540,370455,NA,NA,NA,NA,NA,NA
2007,2918001,128814,133884,8204.17,2089.35,17073936.12,10651077.68,17868645.54,915288.78,0,0,NA,NA,NA,NA
2010,2920007,7522,6916,376.01,148.1,719786,719786,842917,28505,0,0,NA,NA,0,0
2008,2922409,10085,9581,420.22,326.35,1127396.35,736107.35,1199029.9,79217.33,0,0,NA,NA,NA,NA
2011,2930709,86646,107346,8986.96,0.36,23608611,21314460,23733616,1236203,10000,631000,NA,NA,NA,NA
2011,2932507,13376,14676,720.52,383.39,1263967,1211483,1341075,95984,NA,NA,NA,NA,NA,NA
